"id"	"orig.id"	"file.speaker.id"	"text.id"	"subfile"	"spk.id"	"spk.ref"	"zone"	"title"	"date"	"sex"	"age"	"prov"	"reside"	"ed.lev"	"occupation"	"relig"	"1st.lg"	"other.lgs"	"speech.unit.count"	"word.count"
260	"707"	"<S1A-061$C>"	"S1A-061"	"1"	"545"	"C"	"republic of ireland"	"modern man"	"1990-1994"	"female"	"19-25"	"cork (city)"	"dublin (city)"	"some tertiary education"	"student"	"protestant"	"english"	"french & irish gaelic & german"	42	305
261	"708"	"<S1A-062$A>"	"S1A-062"	"1"	"546"	"A"	"republic of ireland"	"america trip 1"	"1990-1994"	"male"	"19-25"	NA	"dublin (city)"	"first degree"	"engineer"	NA	NA	NA	72	336
262	"709"	"<S1A-062$B>"	"S1A-062"	"1"	"547"	"B"	"republic of ireland"	"america trip 1"	"1990-1994"	"female"	"19-25"	NA	"dublin (city)"	"some tertiary education"	"student"	NA	NA	NA	160	1243
263	"710"	"<S1A-062$C>"	"S1A-062"	"1"	"548"	"C"	"republic of ireland"	"america trip 1"	"1990-1994"	"male"	"19-25"	NA	"dublin (city)"	"first degree"	"engineer"	NA	NA	NA	62	285
264	"711"	"<S1A-063$A>"	"S1A-063"	"1"	"549"	"A"	"republic of ireland"	"shoes"	"1990-1994"	"female"	"19-25"	"mayo"	"mayo"	"some tertiary education"	"student"	"catholic"	"english"	"irish gaelic"	116	870
265	"712"	"<S1A-063$B>"	"S1A-063"	"1"	"550"	"B"	"republic of ireland"	"shoes"	"1990-1994"	"female"	"19-25"	NA	"sligo"	"some tertiary education"	"student"	"catholic"	"english"	"french"	95	776
266	"713"	"<S1A-063$C>"	"S1A-063"	"1"	"551"	"C"	"republic of ireland"	"shoes"	"1990-1994"	"female"	"19-25"	"mayo"	"mayo"	"some tertiary education"	"student"	"catholic"	"english"	"irish gaelic"	49	328
267	NA	"<S1A-063$X>"	"S1A-063"	"1"	NA	"X"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	8
268	"714"	"<S1A-064$A>"	"S1A-064"	"1"	"552"	"A"	"republic of ireland"	"o'connell street"	"1990-1994"	"male"	"50+"	"tipperary"	"tipperary"	"some tertiary education"	"farmer"	"catholic"	"english"	NA	9	60
269	"715"	"<S1A-064$B>"	"S1A-064"	"1"	"553"	"B"	"republic of ireland"	"o'connell street"	"1990-1994"	"female"	"50+"	"tipperary"	"tipperary"	"secondary school qualification"	"housewife"	"catholic"	"english"	NA	25	148
270	"716"	"<S1A-064$C>"	"S1A-064"	"1"	"554"	"C"	"republic of ireland"	"o'connell street"	"1990-1994"	"female"	"19-25"	"tipperary"	"tipperary"	"some tertiary education"	"bank official"	"catholic"	"english"	NA	20	178
271	"717"	"<S1A-064$D>"	"S1A-064"	"1"	"555"	"D"	"republic of ireland"	"o'connell street"	"1990-1994"	"female"	"19-25"	"tipperary"	"tipperary"	"some tertiary education"	"travel advisor"	"catholic"	"english"	NA	19	288
272	"718"	"<S1A-064$E>"	"S1A-064"	"1"	"556"	"E"	"republic of ireland"	"o'connell street"	"1990-1994"	"female"	"19-25"	"tipperary"	"tipperary"	"some tertiary education"	"student"	"catholic"	"english"	NA	49	595
273	"719"	"<S1A-064$F>"	"S1A-064"	"1"	"557"	"F"	"non-corpus speaker"	"o'connell street"	"1990-1994"	"male"	"0-18"	"tipperary"	"tipperary"	"some secondary education"	"student"	"catholic"	"english"	NA	1	1
274	"720"	"<S1A-064$G>"	"S1A-064"	"1"	"558"	"G"	"non-corpus speaker"	"o'connell street"	"1990-1994"	"female"	"0-18"	"tipperary"	"tipperary"	"some secondary education"	"na"	"catholic"	"english"	NA	14	92
275	"721"	"<S1A-064$H>"	"S1A-064"	"1"	"559"	"H"	"republic of ireland"	"o'connell street"	"1990-1994"	"male"	"19-25"	"tipperary"	"tipperary"	"some tertiary education"	"farm manager"	"catholic"	"english"	NA	1	2
276	"722"	"<S1A-064$X>"	"S1A-064"	"1"	"643"	"X"	"republic of ireland"	"o'connell street"	"1990-1994"	NA	NA	"tipperary"	"tipperary"	NA	"na"	"catholic"	"english"	NA	4	14
277	"723"	"<S1A-065$A>"	"S1A-065"	"1"	"546"	"A"	"republic of ireland"	"america trip 2"	"1990-1994"	"male"	"19-25"	NA	"dublin (city)"	"first degree"	"engineer"	NA	NA	NA	71	408
278	"724"	"<S1A-065$B>"	"S1A-065"	"1"	"548"	"B"	"republic of ireland"	"america trip 2"	"1990-1994"	"male"	"19-25"	NA	"dublin (city)"	"first degree"	"engineer"	NA	NA	NA	100	690
279	"725"	"<S1A-065$C>"	"S1A-065"	"1"	"547"	"C"	"republic of ireland"	"america trip 2"	"1990-1994"	"female"	"19-25"	NA	"dublin (city)"	"some tertiary education"	"student"	NA	NA	NA	175	1144
280	"726"	"<S1A-066$A>"	"S1A-066"	"1"	"519"	"A"	"republic of ireland"	"radio music"	"1990-1994"	"female"	"19-25"	"wexford"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	74	387
281	"727"	"<S1A-066$B>"	"S1A-066"	"1"	"520"	"B"	"republic of ireland"	"radio music"	"1990-1994"	"female"	"19-25"	"cork (city)"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	107	601
282	"728"	"<S1A-066$C>"	"S1A-066"	"1"	"521"	"C"	"republic of ireland"	"radio music"	"1990-1994"	"female"	"19-25"	"cork (city)"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	135	867
283	"729"	"<S1A-067$A>"	"S1A-067"	"1"	"560"	"A"	"republic of ireland"	"apprenticeship"	"2002-2005"	"female"	"19-25"	"laois"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"irish gaelic"	155	905
284	"730"	"<S1A-067$B>"	"S1A-067"	"1"	"561"	"B"	"republic of ireland"	"apprenticeship"	"2002-2005"	"male"	"42-49"	"laois"	NA	"first degree"	"horticulturist"	"catholic"	"english"	"irish gaelic"	37	241
285	"731"	"<S1A-067$C>"	"S1A-067"	"1"	"562"	"C"	"republic of ireland"	"apprenticeship"	"2002-2005"	"female"	"50+"	"laois"	NA	"secondary school qualification"	"housewife"	"catholic"	"english"	"irish gaelic"	97	495
286	"732"	"<S1A-067$D>"	"S1A-067"	"1"	"563"	"D"	"republic of ireland"	"apprenticeship"	"2002-2005"	"male"	"19-25"	"laois"	NA	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	57	367
287	NA	"<S1A-068$?>"	"S1A-068"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	6
288	"733"	"<S1A-068$A>"	"S1A-068"	"1"	"564"	"A"	"republic of ireland"	"rock bands"	"2002-2005"	"female"	"19-25"	NA	"wicklow"	"some tertiary education"	"student"	"catholic"	"english"	"irish gaelic"	108	861
289	"734"	"<S1A-068$B>"	"S1A-068"	"1"	"565"	"B"	"republic of ireland"	"rock bands"	"2002-2005"	"female"	"26-33"	"galway (city)"	"galway (city)"	"some tertiary education"	"student"	"catholic"	"english"	NA	71	381
290	"735"	"<S1A-068$C>"	"S1A-068"	"1"	"566"	"C"	"republic of ireland"	"rock bands"	"2002-2005"	"female"	"26-33"	"galway (city)"	"galway (city)"	"some tertiary education"	"student"	"catholic"	"english"	"irish gaelic"	107	664
291	"736"	"<S1A-069$A>"	"S1A-069"	"1"	"567"	"A"	"republic of ireland"	"christmas trees"	"1990-1994"	"male"	"19-25"	NA	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french"	105	667
292	"737"	"<S1A-069$B>"	"S1A-069"	"1"	"568"	"B"	"republic of ireland"	"christmas trees"	"1990-1994"	"female"	"19-25"	NA	"mayo"	"some tertiary education"	"student"	"catholic"	"english"	"irish gaelic"	134	638
293	"738"	"<S1A-069$C>"	"S1A-069"	"1"	"569"	"C"	"republic of ireland"	"christmas trees"	"1990-1994"	"female"	"19-25"	NA	"meath"	"some tertiary education"	"student"	"catholic"	"english"	NA	113	756
294	"739"	"<S1A-070$A>"	"S1A-070"	"1"	"570"	"A"	"republic of ireland"	"friends"	"1990-1994"	"female"	"19-25"	NA	"dublin (city)"	"first degree"	"public relations officer"	"catholic"	"english"	"french & irish gaelic"	188	1089
295	"740"	"<S1A-070$B>"	"S1A-070"	"1"	"571"	"B"	"republic of ireland"	"friends"	"1990-1994"	"female"	"19-25"	"meath"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	140	924
296	"741"	"<S1A-071$A>"	"S1A-071"	"1"	"526"	"A"	"republic of ireland"	"elocution"	"1990-1994"	"female"	"19-25"	NA	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	NA	97	703
297	"742"	"<S1A-071$B>"	"S1A-071"	"1"	"527"	"B"	"republic of ireland"	"elocution"	"1990-1994"	"male"	"19-25"	NA	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	NA	105	592
298	"743"	"<S1A-071$C>"	"S1A-071"	"1"	"528"	"C"	"republic of ireland"	"elocution"	"1990-1994"	"male"	"26-33"	NA	"dublin (city)"	"first degree"	"systems analyst"	"catholic"	"english"	NA	99	731
299	NA	"<S1A-071$S>"	"S1A-071"	"1"	NA	"S"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6
300	"744"	"<S1A-072$A>"	"S1A-072"	"1"	"572"	"A"	"republic of ireland"	"driver's licence"	"1990-1994"	"female"	"19-25"	"mayo"	"sligo"	"secondary school qualification"	"clerical officer"	"catholic"	"english"	"french & irish gaelic"	117	562
301	"745"	"<S1A-072$B>"	"S1A-072"	"1"	"573"	"B"	"republic of ireland"	"driver's licence"	"1990-1994"	"male"	"19-25"	"mayo"	"mayo"	"secondary school qualification"	"student"	"catholic"	"english"	"french & irish gaelic"	201	1204
302	"746"	"<S1A-072$C>"	"S1A-072"	"1"	"574"	"C"	"republic of ireland"	"driver's licence"	"1990-1994"	"female"	"19-25"	"mayo"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	76	366
303	"747"	"<S1A-072$D>"	"S1A-072"	"1"	"575"	"D"	"republic of ireland"	"driver's licence"	"1990-1994"	"female"	"50+"	"mayo"	"mayo"	"secondary school qualification"	"housewife"	"catholic"	"english"	"french & latin"	3	16
304	NA	"<S1A-072$X>"	"S1A-072"	"1"	NA	"X"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3
305	"748"	"<S1A-073$A>"	"S1A-073"	"1"	"576"	"A"	"republic of ireland"	"politics"	"1990-1994"	"female"	"50+"	NA	"dublin (city)"	"postgraduate qualification"	"registrar"	"catholic"	"english & irish gaelic"	NA	73	865
306	"749"	"<S1A-073$B>"	"S1A-073"	"1"	"577"	"B"	"republic of ireland"	"politics"	"1990-1994"	"male"	"50+"	"kerry"	"dublin (city)"	"doctoral degree"	"professor"	"catholic"	"english & irish gaelic"	NA	98	1273
307	"750"	"<S1A-073$C>"	"S1A-073"	"1"	"522"	"C"	"republic of ireland"	"politics"	"1990-1994"	"female"	"19-25"	"dublin (city)"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english & irish gaelic"	NA	43	298
308	"751"	"<S1A-074$A>"	"S1A-074"	"1"	"576"	"A"	"republic of ireland"	"local shops"	"1990-1994"	"female"	"50+"	NA	"dublin (city)"	"postgraduate qualification"	"registrar"	"catholic"	"english & irish gaelic"	NA	116	1020
309	"752"	"<S1A-074$B>"	"S1A-074"	"1"	"577"	"B"	"republic of ireland"	"local shops"	"1990-1994"	"male"	"50+"	"kerry"	"dublin (city)"	"doctoral degree"	"professor"	"catholic"	"english & irish gaelic"	NA	81	760
310	"753"	"<S1A-074$C>"	"S1A-074"	"1"	"522"	"C"	"republic of ireland"	"local shops"	"1990-1994"	"female"	"19-25"	"dublin (city)"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english & irish gaelic"	NA	78	650
311	"754"	"<S1A-075$A>"	"S1A-075"	"1"	"635"	"A"	"republic of ireland"	"present"	"1990-1994"	"female"	"19-25"	NA	"dublin (city)"	"secondary school qualification"	"student"	NA	"english"	"irish gaelic"	204	1717
312	"755"	"<S1A-075$B>"	"S1A-075"	"1"	"538"	"B"	"republic of ireland"	"present"	"1990-1994"	"female"	"19-25"	NA	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"irish gaelic"	58	290
313	"756"	"<S1A-075$C>"	"S1A-075"	"1"	"536"	"C"	"republic of ireland"	"present"	"1990-1994"	"female"	"19-25"	NA	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"irish gaelic"	75	356
314	"757"	"<S1A-076$A>"	"S1A-076"	"1"	"517"	"A"	"republic of ireland"	"boyfriends 2"	"1990-1994"	"female"	"19-25"	NA	"dublin (city)"	"first degree"	"marketing assistant"	"catholic"	"english"	NA	176	1693
315	"758"	"<S1A-076$B>"	"S1A-076"	"1"	"518"	"B"	"republic of ireland"	"boyfriends 2"	"1990-1994"	"female"	"19-25"	"limerick"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"irish gaelic"	105	556
316	NA	"<S1A-077$?>"	"S1A-077"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3
317	"759"	"<S1A-077$A>"	"S1A-077"	"1"	"636"	"A"	"republic of ireland"	"books"	"1990-1994"	"female"	"50+"	NA	"dublin (city)"	"secondary school qualification"	"domestic economist"	"catholic"	"english"	"french & irish gaelic"	65	598
318	"760"	"<S1A-077$B>"	"S1A-077"	"1"	"637"	"B"	"republic of ireland"	"books"	"1990-1994"	"female"	"50+"	NA	"dublin (city)"	"first degree"	"biochemist"	NA	"english"	NA	89	497
319	"761"	"<S1A-077$C>"	"S1A-077"	"1"	"638"	"C"	"republic of ireland"	"books"	"1990-1994"	"female"	"42-49"	NA	"dublin (city)"	"some tertiary education"	"domestic economist"	"catholic"	"english"	NA	56	616
320	"762"	"<S1A-077$D>"	"S1A-077"	"1"	"539"	"D"	"republic of ireland"	"books"	"1990-1994"	"female"	"19-25"	NA	"dublin (city)"	"secondary school qualification"	"student"	"catholic"	"english"	NA	69	520
321	NA	"<S1A-078$?>"	"S1A-078"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	47
322	"763"	"<S1A-078$A>"	"S1A-078"	"1"	"639"	"A"	"republic of ireland"	"medical project"	"1990-1994"	"female"	"42-49"	"galway (city)"	"dublin (city)"	"secondary school qualification"	"housewife"	"catholic"	"english"	"irish gaelic"	86	589
323	"764"	"<S1A-078$B>"	"S1A-078"	"1"	"640"	"B"	"republic of ireland"	"medical project"	"1990-1994"	"female"	"19-25"	"dublin (city)"	"dublin (city)"	"some tertiary education"	"staff nurse"	"catholic"	"english"	"french & irish gaelic & spanish"	127	868
324	"765"	"<S1A-078$C>"	"S1A-078"	"1"	"641"	"C"	"republic of ireland"	"medical project"	"1990-1994"	"female"	"19-25"	"dublin (city)"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	NA	46	302
325	"766"	"<S1A-078$D>"	"S1A-078"	"1"	"642"	"D"	"republic of ireland"	"medical project"	"1990-1994"	"male"	"50+"	"dublin (city)"	"dublin (city)"	"secondary school qualification"	"rep for chemical company"	"catholic"	"english"	"irish gaelic"	31	103
326	"767"	"<S1A-078$E>"	"S1A-078"	"1"	"523"	"E"	"republic of ireland"	"medical project"	"1990-1994"	"female"	"19-25"	"dublin (city)"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	18	73
327	NA	"<S1A-078$F>"	"S1A-078"	"1"	NA	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	8
328	"768"	"<S1A-079$A>"	"S1A-079"	"1"	"521"	"A"	"republic of ireland"	"driving"	"1990-1994"	"female"	"19-25"	"cork (city)"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	96	723
329	"769"	"<S1A-079$B>"	"S1A-079"	"1"	"529"	"B"	"republic of ireland"	"driving"	"1990-1994"	"female"	"26-33"	"dublin (city)"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	131	1420
330	"770"	"<S1A-079$C>"	"S1A-079"	"1"	"520"	"C"	"republic of ireland"	"driving"	"1990-1994"	"female"	"19-25"	"cork (city)"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	8	22
331	"771"	"<S1A-079$D>"	"S1A-079"	"1"	"519"	"D"	"republic of ireland"	"driving"	"1990-1994"	"female"	"19-25"	"wexford"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	17	140
332	NA	"<S1A-080$?>"	"S1A-080"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
333	"772"	"<S1A-080$A>"	"S1A-080"	"1"	"65"	"A"	"mixed between ni and roi"	"motorbikes"	"1990-1994"	"female"	"19-25"	"down"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english & irish gaelic"	"spanish"	153	1089
334	"773"	"<S1A-080$B>"	"S1A-080"	"1"	"644"	"B"	"republic of ireland"	"motorbikes"	"1990-1994"	"female"	"19-25"	"clare"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	95	396
335	"774"	"<S1A-080$C>"	"S1A-080"	"1"	"645"	"C"	"republic of ireland"	"motorbikes"	"1990-1994"	"female"	"19-25"	"clare"	"dublin (city)"	"some tertiary education"	"student"	NA	"english"	"irish gaelic"	89	398
336	NA	"<S1A-081$?>"	"S1A-081"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	22
337	"775"	"<S1A-081$A>"	"S1A-081"	"1"	"552"	"A"	"republic of ireland"	"croke park"	"1990-1994"	"male"	"50+"	"tipperary"	"tipperary"	"some tertiary education"	"farmer"	"catholic"	"english"	NA	68	346
338	"776"	"<S1A-081$B>"	"S1A-081"	"1"	"553"	"B"	"republic of ireland"	"croke park"	"1990-1994"	"female"	"50+"	"tipperary"	"tipperary"	"secondary school qualification"	"housewife"	"catholic"	"english"	NA	54	341
339	"777"	"<S1A-081$C>"	"S1A-081"	"1"	"554"	"C"	"republic of ireland"	"croke park"	"1990-1994"	"female"	"19-25"	"tipperary"	"tipperary"	"some tertiary education"	"bank official"	"catholic"	"english"	NA	44	257
340	"778"	"<S1A-081$D>"	"S1A-081"	"1"	"555"	"D"	"republic of ireland"	"croke park"	"1990-1994"	"female"	"19-25"	"tipperary"	"tipperary"	"some tertiary education"	"travel advisor"	"catholic"	"english"	NA	29	137
341	"779"	"<S1A-081$E>"	"S1A-081"	"1"	"556"	"E"	"republic of ireland"	"croke park"	"1990-1994"	"female"	"19-25"	"tipperary"	"tipperary"	"some tertiary education"	"student"	"catholic"	"english"	NA	51	275
342	"780"	"<S1A-081$F>"	"S1A-081"	"1"	"557"	"F"	"non-corpus speaker"	"croke park"	"1990-1994"	"male"	"0-18"	"tipperary"	"tipperary"	"some secondary education"	"student"	"catholic"	"english"	NA	33	225
343	"781"	"<S1A-081$G>"	"S1A-081"	"1"	"558"	"G"	"non-corpus speaker"	"croke park"	"1990-1994"	"female"	"0-18"	"tipperary"	"tipperary"	"some secondary education"	"na"	"catholic"	"english"	NA	39	218
344	"782"	"<S1A-081$H>"	"S1A-081"	"1"	"559"	"H"	"republic of ireland"	"croke park"	"1990-1994"	"male"	"19-25"	"tipperary"	"tipperary"	"some tertiary education"	"farm manager"	"catholic"	"english"	NA	20	125
345	NA	"<S1A-082$?>"	"S1A-082"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	15
346	"783"	"<S1A-082$A>"	"S1A-082"	"1"	"589"	"A"	"republic of ireland"	"kissogram"	"1990-1994"	"female"	"26-33"	NA	"dublin (city)"	"first degree"	"nurse"	"catholic"	"english"	"irish gaelic"	106	578
347	"784"	"<S1A-082$B>"	"S1A-082"	"1"	"590"	"B"	"republic of ireland"	"kissogram"	"1990-1994"	"male"	"26-33"	NA	"dublin (city)"	"first degree"	"sales manager"	"catholic"	"english"	NA	18	122
348	"785"	"<S1A-082$C>"	"S1A-082"	"1"	"648"	"C"	"republic of ireland"	"kissogram"	"1990-1994"	"female"	"26-33"	NA	"dublin (city)"	"first degree"	"nurse student"	"catholic"	"english"	NA	46	292
349	"786"	"<S1A-082$D>"	"S1A-082"	"1"	"649"	"D"	"republic of ireland"	"kissogram"	"1990-1994"	"female"	"26-33"	NA	"dublin (city)"	"first degree"	"teacher"	"catholic"	"english"	NA	4	20
350	"787"	"<S1A-082$E>"	"S1A-082"	"1"	"650"	"E"	"republic of ireland"	"kissogram"	"1990-1994"	"female"	"26-33"	NA	"dublin (city)"	"first degree"	"nurse student"	"catholic"	"english"	NA	74	544
351	"788"	"<S1A-082$F>"	"S1A-082"	"1"	"594"	"F"	"republic of ireland"	"kissogram"	"1990-1994"	"male"	"26-33"	NA	"dublin (city)"	"postgraduate qualification"	"physicist"	NA	"english"	NA	1	8
352	"789"	"<S1A-082$G>"	"S1A-082"	"1"	"652"	"G"	"republic of ireland"	"kissogram"	"1990-1994"	"female"	"26-33"	NA	"dublin (city)"	"first degree"	"nurse"	"catholic"	"english"	NA	69	493
353	NA	"<S1A-083$?>"	"S1A-083"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5
354	"790"	"<S1A-083$A>"	"S1A-083"	"1"	"530"	"A"	"republic of ireland"	"donkey story"	"1990-1994"	"male"	"50+"	NA	"limerick"	"non-degree tertiary qualification"	"manager"	"catholic"	"english"	"french & latin"	56	406
355	"791"	"<S1A-083$B>"	"S1A-083"	"1"	"531"	"B"	"republic of ireland"	"donkey story"	"1990-1994"	"female"	"50+"	NA	"limerick"	"non-degree tertiary qualification"	"nurse"	"catholic"	"english"	"french & latin"	107	938
356	"792"	"<S1A-083$C>"	"S1A-083"	"1"	"532"	"C"	"republic of ireland"	"donkey story"	"1990-1994"	"female"	"19-25"	NA	"limerick"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic & spanish"	2	10
357	"793"	"<S1A-083$D>"	"S1A-083"	"1"	"533"	"D"	"republic of ireland"	"donkey story"	"1990-1994"	"male"	"50+"	NA	"limerick"	"secondary school qualification"	"farmer"	"catholic"	"english"	"french & latin"	37	267
358	"794"	"<S1A-083$E>"	"S1A-083"	"1"	"534"	"E"	"republic of ireland"	"donkey story"	"1990-1994"	"female"	"42-49"	NA	"limerick"	"first degree"	"teacher"	"catholic"	"english"	"french & latin"	37	314
359	"795"	"<S1A-083$F>"	"S1A-083"	"1"	"535"	"F"	"republic of ireland"	"donkey story"	"1990-1994"	"female"	"19-25"	NA	"limerick"	"postgraduate qualification"	"accountant"	"catholic"	"english"	"french & irish gaelic"	8	41
360	"796"	"<S1A-084$A>"	"S1A-084"	"1"	"519"	"A"	"republic of ireland"	"general election"	"1990-1994"	"female"	"19-25"	"wexford"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	48	243
361	"797"	"<S1A-084$B>"	"S1A-084"	"1"	"521"	"B"	"republic of ireland"	"general election"	"1990-1994"	"female"	"19-25"	"cork (city)"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	133	847
362	"798"	"<S1A-084$C>"	"S1A-084"	"1"	"520"	"C"	"republic of ireland"	"general election"	"1990-1994"	"female"	"19-25"	"cork (city)"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	67	529
363	"799"	"<S1A-084$D>"	"S1A-084"	"1"	"653"	"D"	"republic of ireland"	"general election"	"1990-1994"	"female"	"19-25"	"kerry"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	68	419
364	NA	"<S1A-085$?>"	"S1A-085"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	12
365	"800"	"<S1A-085$A>"	"S1A-085"	"1"	"597"	"A"	"republic of ireland"	"birthday cake"	"1990-1994"	"female"	"19-25"	NA	NA	"some tertiary education"	"student"	NA	"english"	NA	111	1016
366	"801"	"<S1A-085$B>"	"S1A-085"	"1"	"655"	"B"	"republic of ireland"	"birthday cake"	"1990-1994"	"female"	"19-25"	NA	NA	"some tertiary education"	"student"	NA	"english"	NA	84	515
367	"802"	"<S1A-085$C>"	"S1A-085"	"1"	"656"	"C"	"republic of ireland"	"birthday cake"	"1990-1994"	"male"	"19-25"	NA	NA	"secondary school qualification"	"musician"	NA	"english"	NA	45	263
368	"804"	"<S1A-085$E>"	"S1A-085"	"1"	"523"	"E"	"republic of ireland"	"birthday cake"	"1990-1994"	"female"	"19-25"	"dublin (city)"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	45	240
369	"805"	"<S1A-085$F>"	"S1A-085"	"1"	"658"	"F"	"republic of ireland"	"birthday cake"	"1990-1994"	"female"	NA	NA	NA	NA	"waitress"	NA	NA	NA	11	46
370	"806"	"<S1A-086$A>"	"S1A-086"	"1"	"570"	"A"	"republic of ireland"	"baby"	"1990-1994"	"female"	"19-25"	NA	"dublin (city)"	"first degree"	"public relations officer"	"catholic"	"english"	"french & irish gaelic"	192	1541
371	"807"	"<S1A-086$B>"	"S1A-086"	"1"	"571"	"B"	"republic of ireland"	"baby"	"1990-1994"	"female"	"19-25"	"meath"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	130	873
372	"808"	"<S1A-087$A>"	"S1A-087"	"1"	"572"	"A"	"republic of ireland"	"line dancing"	"1990-1994"	"female"	"19-25"	"mayo"	"sligo"	"secondary school qualification"	"clerical officer"	"catholic"	"english"	"french & irish gaelic"	123	590
373	"809"	"<S1A-087$B>"	"S1A-087"	"1"	"573"	"B"	"republic of ireland"	"line dancing"	"1990-1994"	"male"	"19-25"	"mayo"	"mayo"	"secondary school qualification"	"student"	"catholic"	"english"	"french & irish gaelic"	181	951
374	"810"	"<S1A-087$C>"	"S1A-087"	"1"	"574"	"C"	"republic of ireland"	"line dancing"	"1990-1994"	"female"	"19-25"	"mayo"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & irish gaelic"	82	434
375	NA	"<S1A-088$?>"	"S1A-088"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	26
376	"812"	"<S1A-088$A>"	"S1A-088"	"1"	"633"	"A"	"republic of ireland"	"therapy inaugural"	"1990-1994"	"female"	"19-25"	NA	"kerry"	"first degree"	"student"	"catholic"	"english"	NA	31	146
377	"813"	"<S1A-088$B>"	"S1A-088"	"1"	"634"	"B"	"republic of ireland"	"therapy inaugural"	"1990-1994"	"female"	"19-25"	NA	NA	"first degree"	"nanny"	"catholic"	"english"	NA	54	281
378	"814"	"<S1A-088$C>"	"S1A-088"	"1"	"578"	"C"	"republic of ireland"	"therapy inaugural"	"1990-1994"	"female"	"19-25"	NA	NA	"first degree"	"teacher"	"protestant"	"english"	NA	28	140
379	"815"	"<S1A-088$D>"	"S1A-088"	"1"	"579"	"D"	"republic of ireland"	"therapy inaugural"	"1990-1994"	"female"	"19-25"	NA	NA	"first degree"	"nanny"	"protestant"	"english"	NA	136	1122
380	"816"	"<S1A-088$E>"	"S1A-088"	"1"	"580"	"E"	"republic of ireland"	"therapy inaugural"	"1990-1994"	"female"	"19-25"	NA	NA	"some tertiary education"	"student"	"protestant"	"english"	NA	81	425
